SYMBOL,avg -log10(p)
AGRP,3.088650598
GBX2,3.088405652
NAGPA,3.082841224
PPID,2.341871313
NSUN3,3.075741395
KCNH4,2.512956362
PCDHAC1,2.317645809
LMAN2,3.0709849
ZNF165,2.471715154
STK17A,3.067495795
HOXB4,3.054428024
SH3BP2,3.049051286
ARL11,3.045453591
SIGLEC9,2.260263942
MCEMP1,3.004891542
WDR64,3.004399901
FDFT1,3.001923836
METTL21C,2.999609311
EGF,2.999609311
DERL2,2.984924283
PPP6R2,2.539976917
TMEM170B,2.336854339
TMEM134,2.989784875
WNT7A,2.989191402
ASCC1,2.983635321
NOL8,2.982465841
OGN,2.981133137
SATB1,2.705063682
SPDYE2B,2.975801768
PDLIM2,2.218050586
FADS6,2.971062923
ANKS1A,2.964370172
DSCAML1,2.960427263
NDUFV1,2.957897232
UNC119B,2.957542625
CELF4,2.95710961
SPINDOC,2.955146783
VARS1,2.955029295
VWA7,2.948693089
AGAP5,2.327414714
IGFBP2,2.226054896
CD96,2.420971595
MRPL57,2.327083826
TAF11,2.937042166
SPNS1,2.92929734
LRRC36,2.926611619
NMUR2,2.926428272
APOBR,2.918544672
RPS6KC1,2.918328713
HPF1,2.28070724
C3orf18,2.913675769
SBF1,2.508354695
FLG2,2.910200827
MAPKAPK3,2.907981529
TRPS1,2.108642154
MPDU1,2.898321649
GSPT1,2.891637965
MPIG6B,2.882562975
ABTB2,2.88097518
STAT6,2.877882464
PTCHD3,2.266810141
DNAJC5,2.107832017
GET3,2.861665718
OMD,2.860057977
NUDT12,2.851304821
OSTN,2.848967418
SOD3,2.848507572
SDHA,2.4681606
MAP4,2.172791671
CLMP,2.846368035
CDK4,2.844937381
GRAMD2A,2.484495654
SH2B1,2.8413963
PARP6,2.517652372
APOM,2.83875182
SLC39A7,2.83818296
PELI2,2.836570257
IPPK,2.83496352
IARS1,2.833510682
MRPS33,2.829650261
PRSS1,2.827309518
SLCO1A2,2.824459196
WDR83,2.821915567
FBF1,2.350677406
MATK,2.811549644
BLOC1S5,2.806819726
PRSS3,2.806096597
MLEC,2.803188457
NME8,2.802609159
HARS2,2.79988854
CANX,2.79925891
FCF1,2.795880017
IRS2,2.389181224
ANGEL2,2.794416741
UBE2R2,2.793605936
BNC1,2.324351966
WDR83OS,2.788105577
PGAP6,2.478684088
BNIP1,2.676679617
TSNARE1,2.777934157
PDCD6,2.35657086
METTL23,2.776166723
ATXN2L,2.773039406
MAD2L1BP,2.769040444
GNL1,2.761176378
C2CD4A,2.759750368
C12orf40,2.338083186
TTC25,2.583706574
VIL1,2.708832155
SLC26A1,2.663010818
MAML1,2.754142008
PCDHA2,2.066246681
ACSM4,2.753009301
PCDHA1,2.067196067
AP5S1,2.748994827
SH2B3,2.219209316
DYSF,2.740024072
SLC17A8,2.146952765
TFCP2,2.343553597
CENPP,2.732499741
ANAPC16,2.730230291
DDAH2,2.729507496
PKM,2.511232469
KIAA0513,2.719945466
YLPM1,2.719672081
PPP2R2D,2.574440715
SCYL2,2.669203894
SRGAP1,2.067027168
NEIL2,2.716653535
SENP8,2.298150398
GATA4,2.709408957
TUFM,2.708986546
POLR1C,2.080340889
FAM110B,2.203939947
MCC,2.166203896
PCDHA13,2.176251985
FCSK,2.698601011
CKB,2.613041418
TAF10,2.69011444
VAMP2,2.205350031
TPPP3,2.686892405
RORA,2.684470467
LOXL2,2.680831457
DEPDC4,2.637409789
EIF3K,2.075091545
HSPA1B,2.673807562
DECR2,2.08950653
FSTL4,2.670968425
MSH5,2.670764884
ICAM3,2.667824216
POU3F3,2.667238464
PSMB8,2.662540739
RNF185,2.656709598
CHCHD7,2.652338291
CLIC1,2.651578302
RMI1,2.229377938
GTPBP2,2.065854507
C8orf58,1.983450529
RAB3GAP2,2.644261216
CAPN15,2.643362353
ZFP91,2.341254267
ANKRD52,2.13091241
IK,2.634755438
ERI3,2.632830511
PCDHA12,2.111314566
P4HA3,2.631954974
CLDN7,2.63126696
SULT1A1,2.629061521
IL23A,2.137453835
STAT2,2.060211421
NKX6-3,2.625434939
SLC39A5,2.17682655
ELMOD1,2.620767022
SMIM19,2.619011344
TCP11,2.617496676
PCDHA3,1.997527198
LIMK2,2.610993482
XPO5,1.998307733
CD200R1L,2.609135516
PRM3,2.056533724
TAS2R60,2.607144831
ATF6,2.603086138
PAN2,2.105408696
EMG1,2.596673538
SFRP4,2.231615545
C1GALT1C1L,2.595183382
WDR33,2.595097896
MYO9A,2.205743777
INHBC,1.987682758
TNP2,2.562758826
EML4,2.050737932
GRP,2.047180462
PCDHA4,1.978418029
CNPY2,2.038474078
BCAR3,2.326621468
BCL7A,2.57569018
FBXO9,2.574384275
KCTD19,2.571541226
ACD,2.571136592
NVL,2.3018367
RPS14,2.568298583
FOXN2,2.567030709
HARS1,2.56618218
DMXL2,2.566166186
MARK3,2.560007941
KHDRBS3,2.563773725
LCAT,2.559138126
MTAP,1.932390314
GPR141,2.555361969
APOF,2.555034477
COQ10A,2.05182004
METTL11B,2.009488728
GLP2R,2.547155973
DEF6,2.543892191
CCDC172,2.541316836
PCDHA6,2.017356977
PLCXD2,2.541271525
CS,2.094875034
C15orf40,2.524196854
SKA3,2.113315734
CREBRF,2.327445656
NPFFR2,2.525958655
PCDHA8,2.015503371
PATZ1,2.52523029
YOD1,2.402193256
TRMT61A,2.506961904
LRIT3,2.518686389
PCDHA11,2.045427121
USP10,2.057112874
ZDHHC7,2.511392885
CNP,2.425762515
PCDHA9,2.004147255
ZSCAN9,1.993834941
SCAF4,2.501896302
PANK2,2.498817454
SARM1,2.498365713
CTNNBL1,2.32756876
CSRNP2,2.235476849
SLC2A13,2.217742839
PRM2,1.988838945
AFF4,2.429878927
INSIG2,2.486462792
UPK3BL1,2.486063612
PRM1,2.305582255
NA,1.748501152
WDR18,2.477751439
WDR55,2.476721887
CFAP53,2.476214526
NOX3,2.472692396
NFASC,2.199519867
DAB1,2.469070685
MMEL1,2.466660164
PCDHA7,1.981487815
NEUROG2,2.461237811
GPR18,2.461175011
RPSA,2.460635304
AGER,2.457523144
PDZD2,2.455473087
TIE1,2.455262418
KRT73,2.450910869
LRRC73,2.082856704
OR8H2,2.449270357
FBXL16,2.449135963
ATP10B,2.447562983
DMAP1,2.446651071
BTN3A2,1.94202435
PEX2,2.445522954
SFT2D3,2.444409844
RAPGEF5,2.442733471
NCOA6,1.901388553
VASH2,2.440955641
FCER1G,2.438564672
FUT11,2.029080586
SMIM7,2.435570673
PCDHA5,1.931437532
ADCK2,1.978396726
MED8,2.43169265
CFAP161,2.353854541
NDEL1,2.426061392
DIP2A,2.425864514
SLC29A2,2.425748745
LSM2,2.423543468
SERPING1,2.42091412
POLH,1.911634919
OR6T1,2.419177626
MED24,2.417493474
CNBP,2.416076118
ATG4B,2.415962929
DNAJC11,2.412491079
RASGEF1C,2.411795544
FAM71C,2.411773126
FNIP2,2.411593823
METTL26,2.409670975
MAP2K5,2.129066919
IL1B,2.408378962
GRB10,2.406769331
PCDHA10,1.958684125
SUN3,2.398461475
TJAP1,2.094700607
ATP2A1,2.396682377
LY6G5C,2.395730736
PLA2G3,1.895282753
C7orf77,1.880419106
ERICH6B,1.999099072
UQCRQ,2.019560555
QSOX1,2.393070738
PLOD1,2.392159109
OR5B12,2.388255456
ATF1,1.856930049
ZNF76,2.387184367
HAT1,2.019140942
RAB3GAP1,2.38101108
KIAA0825,2.379582838
TKTL2,2.02994799
KCNN4,2.37804518
BRAF,2.37647161
LETMD1,2.080880525
ERICH1,2.188723483
USP20,2.055488812
CHCHD1,2.374646386
B4GAT1,2.372736583
SLC35F6,1.999264892
SLC25A30,2.36747185
GIPC1,2.180460484
MUC22,2.364918564
SGF29,2.363512104
CLK1,2.362890695
PFKFB2,2.184873816
TNPO2,2.361620579
IL27,2.359608015
GRM3,2.357743279
KPNA3,2.355866804
SDCCAG8,2.319849123
PROM2,1.897468183
PTMS,2.349294313
SPAG5,2.348537838
NABP2,2.347096428
SDHB,1.935956534
LIMS2,2.345448066
ETFDH,2.133226445
MBD1,2.344362222
SREK1,2.342571235
WFIKKN1,2.243376113
MUC16,2.341940881
PLOD2,2.202349633
OR8I2,2.340635333
TRHDE,2.340159832
MCM3,2.340017283
NUP50,2.113296753
BTN1A1,1.828072964
KIF24,2.213279873
SHE,2.336336759
SLC4A9,2.336120118
NFATC2IP,2.3334633
TNFAIP1,2.332154958
ALDH4A1,2.330060488
USP42,2.327985313
TCOF1,2.061812997
SERPINB6,2.063749993
MEX3B,2.325120496
ATP10D,1.972461207
AGR3,2.319138937
THOP1,2.087720668
PSMC4,2.318252381
ABCC6,2.317963285
SFTPB,2.317945223
HSD3B2,2.317872982
ATP8A2,2.317088137
PPIL3,2.316331698
LEAP2,2.315693354
PSAPL1,2.056505232
EFHD1,2.311286595
TBC1D5,1.806944239
DUSP12,2.308485314
PIGU,2.306739245
