SYMBOL,avg -log10(p)
RBKS,2.282079974
RASGRP3,2.972066879
NDUFAF7,3.125071661
PRKD3,2.899880201
QPCT,3.479460739
THUMPD2,1.796471509
EML4,3.340179487
COX7A2L,3.061736529
LOC105374537,1.824720182
KCNG3,3.467293433
ZFP36L2,3.800778762
THADA,4.225913914
TTC7A,1.362327158
EPCAM,1.529016513
MSH2,3.439232818
KCNK12,1.745234468
FSHR,3.265560232
SPRED2,2.882350053
PNO1,1.32085385
PPP3R1,1.578642901
GFPT1,1.360543394
NFU1,1.415092361
TIA1,1.622147581
PCYOX1,1.443504522
SNRPG,1.423278664
CD207,1.819988881
ZNF638,4.695245609
SFXN5,2.118592516
RAB11FIP5,2.061150176
C2orf81,1.680644059
WDR54,1.641874715
RTKN,3.776244546
MRPL53,1.635955821
CCDC142,1.354921765
DQX1,1.496359099
SEMA4F,1.913853809
CTNNA2,1.454433127
TGOLN2,1.537242735
ELMOD3,1.354459839
RNF103-CHMP3,1.354341979
CD8B,1.874658444
FOXI3,1.852509179
RPIA,1.661680119
TEKT4,2.249337354
MAL,1.429332303
ZNF514,1.987669044
ZNF2,1.69411147
PROM2,2.082510245
KCNIP3,3.534676645
ADRA2B,1.402228052
MGAT4A,1.945616792
TSGA10,2.17825072
C2orf15,3.092561765
LIPT1,1.673336493
MITD1,1.881735274
MRPL30,2.18525312
LYG1,1.334268955
TXNDC9,1.314562822
FHL2,2.020670248
NCK2,3.020403842
GCC2,3.364817951
LIMS1,2.622803065
SEPTIN10,1.49936565
IL37,1.772936408
IL1RN,2.483874656
PAX8,2.160574436
DDX18,1.328725309
CCDC93,2.146301788
INSIG2,1.887394998
BIN1,21.49564342
POTEE,1.36533132
MZT2A,1.72514968
TUBA3D,1.505288975
CCDC74A,1.711571905
C2orf27A,1.807627716
LYPD1,1.529207427
NCKAP5,2.450775966
MGAT5,2.478287812
TMEM163,2.690354591
ACMSD,4.006543934
CCNT2,2.592263401
MAP3K19,2.826260286
ZRANB3,1.560477837
R3HDM1,1.803022865
LCT,1.865695365
MCM6,2.203765743
NXPH2,2.106371375
KYNU,1.858268105
MMADHC,1.405762188
NR4A2,1.327357306
UPP2,1.835082334
BAZ2B,5.294230338
MARCHF7,3.950239448
CD302,3.20920493
LY75-CD302,3.300457105
